Brand name,Brand URL,Shopify or other,Annual sales,Alexa rating,# of employees,Segment (s/m/l/d),Name/Founder 1,Contact email
2120,2120.us,,URL Failed,5833443,Brand Failed,Small,Aram V.
??,5econds.co,,URL Failed,23945,Brand Failed,,
??,7ate9apparel.com,,URL Failed,1236733,Brand Failed,,
??,alienation.shop,,URL Failed,1314153,Brand Failed,,
??,allblues.se,,URL Failed,209362,Brand Failed,,
??,alyssonsantos.com,,URL Failed,URL Failed,Brand Failed,Small,Alysson Santos Utheza
??,a-ma-maniere.com,,URL Failed,120751,Brand Failed,,
??,amiri.com,,URL Failed,71981,Brand Failed,,
??,angelasedit.com,,URL Failed,1461921,Brand Failed,,
??,annsfabulousfinds.com,,URL Failed,191321,Brand Failed,,
??,another20.com,,URL Failed,1420336,Brand Failed,,
??,appmixo.com,p,URL Failed,62828,Brand Failed,,
??,arenamenswear.com,,URL Failed,286866,Brand Failed,,
??,articture.com,,URL Failed,39123,Brand Failed,,
??,asrv.co,,3200000.0,22072,Brand Failed,,
??,assthi.online,,URL Failed,742029,Brand Failed,,
??,babyluno.com,,URL Failed,565751,Brand Failed,,
??,bag-all.com,,URL Failed,119483,Brand Failed,,
??,bajaao.shop,,URL Failed,URL Failed,Brand Failed,,
??,balr.jp,,URL Failed,29918,Brand Failed,,
??,banksjournal.com,,URL Failed,126819,Brand Failed,,
??,barnerbrand.com,,URL Failed,48453,Brand Failed,,
